"","Nombre.de.forfaits","impôt.cantonal","totale.des.recettes.fiscales","Part en % des forfaits fiscaux dans les recettes fiscales cantonales"
"AG",16,0.57,1.47,0.000257002182264144
"AI",21,0.53,1.58,0.010503868594622
"AR",19,0.43,1.28,0.00290955545375871
"BE",211,14.1,27.2,0.00292845047792935
"BL",10,0.5,0.94,0.000320664128759731
"BS",16,1.62,2.15,0.000622610444174903
"FR",80,1.6,3.6,0.00142861951692481
"GE",710,85.9,155.7,0.0152369829780373
"GL",0,0,0,0
"GR",268,19.9,49.1,0.0289122737687221
"JU",22,0.65,1.3,0.00208749914247382
"LU",130,6.4,18.2,0.0061026783935544
"NE",39,2.2,3.91,0.00205163331768727
"NW",84,2.6,8.2,0.0157876009040223
"OW",38,1.2,5.4,0.0143893518796091
"SG",73,3.51,9.46,0.00198235019306171
"SH",0,0,0,0
"SO",0,0,0,0
"SZ",92,3.88,15.03,0.00752715498761317
"TG",104,2.7,8.7,0.00363545783205531
"TI",877,29,72,0.0161717729752268
"UR",9,0.28,0.82,0.00359910671199724
"VD",1396,108.7,207.8,0.0199736531528641
"VS",1300,32.2,82.5,0.0259956872993307
"ZG",110,6.4,18.6,0.00997941544417047
"ZH",0,0,0,0
